time,open,high,low,close,Basis,Upper,Lower,Volume,Volume MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,ADX,+DI,-DI
2020-10-19,11911.65039063,11923.95019531,11316.34960938,11503.04980469,11096.210156252997,12622.809005657597,9569.611306848397,159362000,215244350.4,59.45882020556364,69.24361537960822,,,,,44.111139800604235,28.47931761539194,11.955875525636674
2020-10-26,11564.5,11625.95019531,11135.15039063,11243.75,11159.257666018497,12598.361961042978,9720.153370994016,156500000,210846000.4,55.88119030476671,68.60819740071283,55.88119030476671,,,,43.35301221739981,26.856199951574354,13.37860503917257
2020-11-02,11256.25,11753.45019531,11096.25,11623.34960938,11240.317626955997,12589.404399523417,9891.230854388577,239476000,213479750.4,59.70373175512602,67.71101732568775,,,,,42.830104591702415,26.289978946177516,12.362573265936293
2020-11-09,11803.54980469,11809.54980469,11136.65039063,11772.45,11322.047646486997,12589.668158343318,10054.427134630676,316047300,209120915.4,61.12835189241922,66.82799505224646,,,,,42.42561067758924,24.902759948890395,11.407322639035115
2020-11-17,11816.59960938,11837.29980469,11454.79980469,11526.75,11400.215126955498,12505.483094285073,10294.947159625923,124567000,208744515.4,57.519567619978154,65.54773410035884,,,,,42.09202878781604,24.105693144254282,10.892110072644519
2020-11-23,11569.70019531,12012.45019531,11525.40039063,11839.15039063,11488.560146486998,12424.633042771331,10552.487250202665,225264000,212487465.4,60.6967205448132,64.52963912386907,,,,,42.04828852202273,24.797146247050602,10.256861317016488
2020-12-01,12021,12393.54980469,11875.59960938,12353.59960938,11582.632607424499,12467.99967912017,10697.265535728828,155393000,209826765.4,65.29931645748255,63.83635794838767,,,,,42.52164776857061,27.72921639093266,9.572491476729853
2020-12-07,12376.45019531,12636.90039063,12277.5,12366,11689.035097659,12395.920964253057,10982.149231064943,159150000,209021065.4,65.40448150908605,63.64334991293263,,,,,43.247012880152724,29.508711094626634,9.146433570458163
2020-12-14,12399.75,12796.95019531,12395.54980469,12762.34960938,11769.7075585965,12573.266612084453,10966.148505108546,151436000,204348515.4,68.67251631977655,63.66291779221945,,,,,44.0974552638143,29.923414342712235,8.64931652850607
2020-12-21,12752,12943.20019531,11949.59960938,12908.95019531,11848.505068362,12766.275748311838,10930.73438841216,145322000,198333415.4,69.80855390535709,63.22698414355556,,,,,43.38310896675338,26.365378504926863,12.957582864692103
2020-12-28,12989.40039063,13045.54980469,12753.84960938,13001.95019531,11916.582558596,12956.385647198153,10876.779469993846,142972000,188562415.4,70.53843961121743,63.68669663265516,,,,,42.87256611922371,26.681381995456658,12.488115254500215
2021-01-04,13085.29980469,13298.15039063,12965.65039063,13271.54980469,11999.415029299,13183.784233457642,10815.045825140358,139780000,187912565.4,72.60595212657779,64.16629281071366,,,72.60595212657779,72.60595212657779,42.76017729884908,28.78017935571686,11.956350099273473
2021-01-11,13315.45019531,13476.79980469,12946.79980469,13014.25,12068.9825097675,13318.38125449611,10819.583765038891,134948000,186696065.4,67.72141612788323,64.17597942755084,,,,,42.8949530507061,29.115807723635765,11.141923318035477
2021-01-18,13000.79980469,13013.45019531,12468.75,12542.09960938,12132.014980471,13342.73021643842,10921.29974450358,134693000,182375165.4,59.7745970292611,63.87240395780775,,,,,41.561684899558585,27.071836793346083,16.511856936481568
2021-01-25,12604.59960938,12867.84960938,12101.45019531,12170.25,12174.8624902365,13325.827833660867,11023.897146812134,181855000,183916065.4,54.3639414260555,63.508484044985735,,,,,39.39563775782292,24.47246349157891,19.52810827887631
2021-02-01,12212.20019531,13041,11934.25,12950.65039063,12206.3499902365,13405.040663741638,11007.659316731362,233955000,179901515,62.11461980858269,63.95372900954402,,,,,37.70396383711009,23.325561615222835,16.990949586043158
2021-02-08,13039.54980469,13118.70019531,12689.40039063,12785.75,12265.842470705,13455.511769859133,11076.173171550867,144483000,174944665,59.80337386120822,63.960846302835606,,,,,36.27632403382089,23.05651803523718,16.116272206250272
2021-02-15,12817.95019531,12863.29980469,12236.15039063,12347.40039063,12292.067470705,13464.52337198665,11119.61156942335,120815000,172415565,54.04629855782718,63.45498535036476,,,,,33.85760826822003,21.329098755702965,20.32347918551492
2021-02-22,12365.79980469,12387.04980469,11860.70019531,11927.90039063,12286.264980470998,13464.70855606161,11107.821404880386,139879000,169568965,49.16813881305384,62.858454721298735,,,,,32.026926223851845,19.9763762435416,23.55844750915862
2021-03-01,12007.20019531,12447.29980469,11949.75,12192.75,12305.197500002,13464.70449974391,11145.690500260089,103507000,165470215,52.107223705043985,62.24491923274378,,,,,30.190627815202554,19.447467085404202,22.070908842734447
2021-03-08,12224.29980469,12377.29980469,12053.09960938,12184.25,12339.257509767498,13441.098523672028,11237.416495862968,69868000,160995515,52.00330079445948,61.29520382824213,,,,,28.485493578599634,18.65564368060979,21.172269338164853
2021-03-15,12213.75,12215.15039063,11280.79980469,11667.09960938,12360.424990236499,13391.246642523514,11329.603337949484,98289000,158084965,45.99310388033373,59.908676854759825,45.99310388033373,,,,28.29246025930811,16.562613758449498,28.070340438340416
2021-03-22,11685.09960938,12056.25,11669.04980469,11883.20019531,12373.417519532999,13372.822709192953,11374.012329873045,109306000,151576465,48.663103339194,58.4794330704325,,,,,28.1132150342517,15.76908271392843,26.72546293935662
2021-03-30,11989.09960938,12400.54980469,11958,12377.09960938,12403.650000001999,13364.339877781747,11442.96012222225,56792000,138613700,54.23225128606349,57.36684002619724,,,,,27.07523673495867,19.028801956782527,25.00993073620518
2021-04-05,12383.54980469,13074,12129.25,12995.34960938,12477.079980470999,13381.285795918218,11572.874165023779,138567000,139313700,60.07144677483018,56.61919768074101,,,,,25.547684736324666,24.885941365376265,22.20660671956306
2021-04-12,13026.29980469,13309.70019531,12733,13234.25,12546.834960939497,13458.64392276418,11635.025999114814,227710000,139436000,62.0844666045958,55.86766300059944,,,,,24.53414319611088,25.982930199966003,20.68260999789985
2021-04-19,13233.20019531,13633.40039063,12999.79980469,13319.75,12595.142480470498,13561.616830049157,11628.66813089184,247805000,144056600,62.8071659958147,55.516645134023115,,,,,24.109898766318754,27.868423368333058,19.129323396913097
2021-04-26,13418.59960938,13619.54980469,13145.04980469,13469.25,12650.304980470499,13681.911784750533,11618.698176190464,216026000,146900400,64.09584568018174,55.82530575194602,,,,,23.715957510083214,26.276856145425487,18.03684666392643
2021-05-03,13502.65039063,13960.79980469,13200.70019531,13747.09960938,12699.542480470498,13836.466473022008,11562.618487918988,252482000,151952700,66.42428167498105,56.68675862686928,,,,,23.87787130073679,27.946675155982014,16.419200374582395
2021-05-10,13965.5,14282.90039063,13848.95019531,13885.5,12748.369970704998,13995.602266248909,11501.137675161088,207843000,155078750,67.55305220210005,57.07521808354908,,,,,24.474760801860977,29.997241107252943,15.372584408640744
2021-05-17,13921.29980469,14085.65039063,13741.25,13993.70019531,12797.957470704998,14155.551521231027,11440.363420178968,138660000,154863150,68.44616819608788,57.69256053604049,,,,,24.750229499706755,28.7295619969206,16.044482906838095
2021-05-24,14028.84960938,14228.59960938,13893.54980469,13934.09960938,12831.084960939497,14263.55755602793,11398.612365851064,154257000,155587000,67.3465135775713,58.642575894593634,,,,,25.21325498832469,29.320397015051917,15.364231753915716
2021-05-31,14001.20019531,14206.95019531,13849.29980469,14101.54980469,12885.449951173998,14420.461946098141,11350.437956249854,124291000,155054150,68.86022286303528,60.04915332673517,,,,,25.518392445400277,27.957760688278228,15.225190164554949
